N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"62,500","1,500",+2.46%,100,"3,731,114","5,969,783",56.29,"22,406,238",19.56,8.69,
2,SK하이닉스,"89,600","1,500",+1.70%,"5,000","652,290","728,002",49.30,"2,824,764",28.54,4.25,
3,삼성바이오로직스,"760,000","7,000",+0.93%,"2,500","502,854","66,165",10.13,"64,272",146.41,4.77,
4,LG화학,"707,000","15,000",+2.17%,"5,000","499,088","70,592",40.92,"305,813",121.88,1.84,
5,삼성전자우,"57,500",200,+0.35%,100,"473,160","822,887",86.69,"2,364,048",17.99,N/A,
6,NAVER,"281,000","2,000",+0.72%,100,"461,580","164,263",55.74,"510,204",65.50,10.56,
7,셀트리온,"292,000",0,0.00%,"1,000","394,182","134,994",20.55,"667,594",98.48,11.19,
8,현대차,"177,000","3,000",+1.72%,"5,000","378,193","213,668",30.63,"2,002,287",25.50,4.32,
9,삼성SDI,"496,500","18,500",-3.59%,"5,000","341,416","68,765",43.54,"850,590",182.40,2.94,
10,카카오,"363,500","6,000",+1.68%,500,"320,896","88,280",31.88,"364,759",-207.71,-5.81,
11,LG생활건강,"1,594,000","13,000",-0.81%,"5,000","248,954","15,618",45.81,"18,962",36.35,20.32,
12,기아차,"59,700",700,+1.19%,"5,000","242,002","405,363",38.45,"3,190,474",22.73,6.50,
13,삼성물산,"121,500","1,000",+0.83%,100,"227,068","186,887",14.15,"478,065",21.23,4.77,
14,현대모비스,"238,000","1,500",-0.63%,"5,000","226,230","95,055",43.05,"301,619",12.97,7.28,
15,POSCO,"235,000","1,500",-0.63%,"5,000","204,889","87,187",51.07,"187,645",22.34,4.18,
16,KB금융,"45,050","1,300",-2.80%,"5,000","187,321","415,808",66.03,"1,566,490",5.89,8.92,
17,SK텔레콤,"229,000","1,000",-0.43%,500,"184,908","80,746",34.23,"279,366",18.79,3.92,
18,엔씨소프트,"807,000","16,000",+2.02%,500,"177,169","21,954",48.22,"49,138",33.99,14.72,
19,신한지주,"32,450",450,-1.37%,"5,000","167,613","516,527",57.94,"2,606,262",4.87,9.09,
20,SK,"212,000",500,+0.24%,200,"149,164","70,360",21.68,"542,536",-408.48,4.31,
21,SK이노베이션,"156,500","2,000",-1.26%,"5,000","144,709","92,466",23.99,"432,214",-6.41,-0.20,
22,LG전자,"85,700",400,-0.46%,"5,000","140,246","163,648",35.74,"369,934",34.39,0.22,
23,한국전력,"21,300",350,+1.67%,"5,000","136,738","641,964",16.91,"4,655,937",-14.84,-3.42,
24,삼성에스디에스,"175,500",0,0.00%,500,"135,798","77,378",12.35,"125,682",26.05,11.76,
25,삼성생명,"67,300",700,+1.05%,500,"134,600","200,000",12.43,"468,316",14.97,3.26,
26,SK바이오팜,"166,500","3,000",+1.83%,500,"130,392","78,313",2.62,"157,409",-151.36,-313.66,
27,LG,"74,700",800,-1.06%,"5,000","128,900","172,557",34.74,"158,983",15.94,5.87,
28,KT&G,"84,900",700,-0.82%,"5,000","116,561","137,292",41.65,"265,882",11.35,12.39,
29,삼성전기,"147,500","4,000",+2.79%,"5,000","110,173","74,694",33.98,"1,078,899",45.40,10.18,
30,넷마블,"127,000","1,000",+0.79%,100,"109,020","85,843",22.65,"167,671",52.54,3.54,
31,하나금융지주,"34,450",800,-2.27%,"5,000","103,433","300,242",64.82,"2,075,283",4.08,8.77,
32,아모레퍼시픽,"176,500","1,000",-0.56%,500,"103,179","58,458",30.01,"214,707",88.74,5.36,
33,삼성화재,"196,000","4,000",+2.08%,500,"92,855","47,375",46.18,"122,416",14.98,4.85,
34,롯데케미칼,"268,500","10,000",-3.59%,"5,000","92,030","34,275",27.39,"321,610",51.23,5.51,
35,한화솔루션,"48,800",550,-1.11%,"5,000","78,014","159,864",18.98,"4,397,507",-47.10,-4.02,
36,고려아연,"386,500","5,500",-1.40%,"5,000","72,933","18,870",23.97,"31,904",13.26,9.76,
37,한온시스템,"13,600",50,+0.37%,100,"72,597","533,800",20.83,"778,329",43.59,14.98,
38,현대글로비스,"193,500",500,-0.26%,500,"72,562","37,500",36.10,"224,989",13.18,11.25,
39,S-Oil,"64,100",600,-0.93%,"2,500","72,166","112,583",74.37,"366,713",-8.81,1.01,
40,우리금융지주,"9,790",160,-1.61%,"5,000","70,710","722,268",25.87,"1,195,169",5.17,N/A,
41,신풍제약,"126,500","21,500",+20.48%,500,"67,026","52,985",10.12,"7,141,848","3,833.33",0.80,
42,기업은행,"9,040",20,-0.22%,"5,000","66,775","738,664",10.81,"2,121,110",4.33,7.36,
43,한국조선해양,"93,700",200,+0.21%,"5,000","66,314","70,773",15.90,"282,515",63.01,1.40,
44,KT,"23,450",150,-0.64%,"5,000","61,231","261,112",43.62,"601,594",10.22,4.61,
45,미래에셋대우,"9,450",10,+0.11%,"5,000","60,982","645,316",14.32,"1,498,577",11.25,7.56,
46,빅히트,"159,500","2,000",+1.27%,500,"56,820","35,624",3.48,"169,695",N/A,56.47,
47,KODEX 200,"33,195",255,+0.77%,0,"56,597","170,500",10.45,"5,438,771",N/A,N/A,
48,CJ제일제당,"367,500","1,500",+0.41%,"5,000","55,324","15,054",23.50,"37,431",9.25,3.16,
49,코웨이,"73,400",700,-0.94%,500,"54,169","73,800",61.04,"122,626",15.43,30.74,
50,LG디스플레이,"14,800",200,-1.33%,"5,000","52,957","357,816",22.51,"1,149,000",-1.82,-22.35,
51,LG유플러스,"11,500",200,-1.71%,"5,000","50,210","436,611",31.49,"1,735,228",10.04,6.30,
52,포스코케미칼,"80,400",400,-0.50%,500,"49,035","60,988",7.28,"254,125",94.81,11.57,
53,강원랜드,"22,450",550,-2.39%,500,"48,030","213,940",23.71,"570,014",-236.32,9.16,
54,SK케미칼,"408,500","9,000",+2.25%,"5,000","47,964","11,741",14.19,"607,173",21.02,1.51,
55,한진칼,"78,900","5,900",-6.96%,"2,500","46,686","59,171",17.36,"1,138,821",-12.15,-17.56,
56,HMM,"14,250",100,-0.70%,"5,000","46,558","326,726",6.55,"18,201,289",-18.27,-55.46,
57,이마트,"164,000","1,000",-0.61%,"5,000","45,716","27,876",32.18,"213,402",8.23,2.76,
58,오리온,"113,000","3,000",-2.59%,500,"44,676","39,536",42.57,"163,113",16.86,14.24,
59,녹십자,"373,000","8,000",-2.10%,"5,000","43,591","11,687",19.14,"648,661",729.94,-0.35,
60,현대제철,"32,150",300,-0.92%,"5,000","42,903","133,446",19.06,"558,228",-15.95,0.10,
61,유한양행,"63,900",200,+0.31%,"1,000","42,722","66,857",20.97,"138,593",25.78,2.43,
62,대한항공,"24,250",350,-1.42%,"5,000","42,246","174,210",12.77,"8,622,329",-3.61,-22.09,
63,금호석유,"136,500",0,0.00%,"5,000","41,588","30,468",28.32,"233,879",15.62,11.84,
64,한국금융지주,"74,500",700,-0.93%,"5,000","41,516","55,726",30.80,"352,365",7.05,18.14,
65,두산중공업,"16,400",0,0.00%,"5,000","41,515","253,141",8.95,"4,186,412",-3.51,-14.73,
66,아모레G,"49,650",250,-0.50%,500,"40,940","82,458",19.69,"116,594",67.74,4.12,
67,한국타이어앤테크놀로지,"32,550",900,-2.69%,500,"40,321","123,875",37.95,"252,489",13.61,6.03,
68,현대중공업지주,"252,000","3,500",-1.37%,"5,000","39,813","15,799",17.90,"37,222",-17.77,2.20,
69,맥쿼리인프라,"10,950",50,-0.45%,0,"38,220","349,044",14.88,"236,059",N/A,N/A,
70,삼성중공업,"6,020",0,0.00%,"5,000","37,926","630,000",15.39,"6,545,778",-2.08,-21.88,
71,삼성카드,"31,950",300,-0.93%,"5,000","37,017","115,859",10.01,"101,562",9.88,5.04,
72,CJ대한통운,"162,000","1,000",+0.62%,"5,000","36,956","22,812",22.17,"68,235",40.89,1.41,
73,LG이노텍,"153,000","1,000",-0.65%,"5,000","36,211","23,667",35.11,"58,072",15.84,4.73,
74,현대건설,"32,500",100,-0.31%,"5,000","36,191","111,356",20.08,"628,469",10.75,6.30,
75,한미사이언스,"54,000",200,+0.37%,500,"35,646","66,011",1.80,"71,817",125.87,4.73,
76,롯데지주,"32,600",500,-1.51%,200,"34,200","104,909",11.40,"158,545",-4.92,-5.21,
77,GS,"36,650","1,200",-3.17%,"5,000","34,053","92,915",20.17,"331,172",-30.31,6.26,
78,한미약품,"284,500","3,500",-1.22%,"2,500","33,693","11,843",14.04,"22,260",93.46,7.30,
79,DB손해보험,"46,550",500,-1.06%,500,"32,957","70,800",40.62,"106,282",6.09,6.92,
80,두산밥캣,"32,550",450,+1.40%,500,"32,631","100,249",20.77,"505,791",17.83,7.05,
81,에스원,"83,600",200,+0.24%,500,"31,767","37,999",55.40,"28,300",21.47,11.32,
82,호텔신라,"80,800",600,-0.74%,"5,000","31,712","39,248",22.23,"549,181",-42.73,20.16,
83,삼성증권,"35,300",200,-0.56%,"5,000","31,523","89,300",25.82,"333,073",9.68,8.15,
84,더존비즈온,"105,000","1,000",+0.96%,500,"31,488","29,989",45.05,"61,063",65.54,18.78,
85,현대차2우B,"86,100",800,+0.94%,"5,000","31,414","36,485",60.44,"69,498",12.41,N/A,
86,SKC,"81,800",500,-0.61%,"5,000","30,703","37,535",8.04,"183,575",29.64,3.86,
87,동서,"29,450",50,-0.17%,500,"29,362","99,700",5.23,"82,602",21.34,10.53,
88,NH투자증권,"10,400",100,-0.95%,"5,000","29,267","281,409",14.42,"1,055,008",6.81,9.12,
89,대림산업,"81,300",100,-0.12%,"5,000","28,292","34,800",38.49,"158,806",4.30,11.74,
90,쌍용양회,"5,550",0,0.00%,"1,000","27,964","503,860",2.85,0,20.94,7.02,
91,롯데쇼핑,"97,500","1,500",-1.52%,"5,000","27,582","28,289",12.04,"194,685",-2.03,-8.14,
92,한국가스공사,"29,200",900,-2.99%,"5,000","26,955","92,313",8.95,"370,805",-6.04,0.48,
93,LG화학우,"346,500",0,0.00%,"5,000","26,642","7,689",58.63,"23,420",59.73,N/A,
94,대우조선해양,"24,600",600,+2.50%,"5,000","26,394","107,291",8.94,"430,607",-28.37,-1.22,
95,휠라홀딩스,"42,850","2,650",-5.82%,"1,000","26,032","60,752",45.15,"624,468",12.97,23.81,
96,GS리테일,"33,750",300,-0.88%,"1,000","25,988","77,000",14.99,"184,888",15.56,6.25,
97,제일기획,"21,350",200,-0.93%,200,"24,561","115,041",31.63,"117,243",19.10,15.09,
98,키움증권,"110,500","2,000",-1.78%,"5,000","24,464","22,139",25.14,"113,251",7.41,16.97,
99,메리츠증권,"3,595",35,-0.96%,"1,000","24,301","675,962",12.79,"1,651,496",4.90,15.06,
100,GS건설,"30,300",100,+0.33%,"5,000","24,270","80,098",28.21,"368,902",6.35,11.79,
101,BGF리테일,"139,500","3,000",+2.20%,"1,000","24,111","17,284",31.39,"36,228",18.61,26.46,
102,TIGER 200,"33,165",255,+0.77%,0,"23,564","71,050",2.13,"1,454,438",N/A,N/A,
103,삼성엔지니어링,"12,000",50,-0.41%,"5,000","23,520","196,000",26.76,"1,629,532",9.10,24.62,
104,CJ,"80,600",600,-0.74%,"5,000","23,517","29,177",18.96,"46,660",15.66,6.24,
105,두산퓨얼셀,"42,250",450,-1.05%,100,"23,446","55,494",10.80,"499,216",65.61,N/A,
106,하이트진로,"33,400","1,350",-3.88%,"5,000","23,425","70,134",10.50,"530,030",34.50,-3.86,
107,한국항공우주,"23,550",350,-1.46%,"5,000","22,955","97,475",14.65,"337,951",14.69,15.84,
108,신세계,"232,000","3,000",+1.31%,"5,000","22,841","9,845",26.25,"111,590",-8.55,14.24,
109,팬오션,"4,220",290,-6.43%,"1,000","22,559","534,570",11.49,"10,864,717",15.29,5.49,
110,KODEX 200선물인버스2X,"3,620",50,-1.36%,0,"22,553","623,000",1.00,"156,400,261",N/A,N/A,
111,한샘,"93,900",100,+0.11%,"1,000","22,098","23,534",23.28,"37,301",42.26,7.32,
112,현대해상,"24,350",350,-1.42%,500,"21,769","89,400",40.66,"138,287",7.15,6.23,
113,KODEX 레버리지,"16,760",250,+1.51%,0,"21,352","127,400",3.11,"44,612,229",N/A,N/A,
114,일진머티리얼즈,"46,250",100,+0.22%,500,"21,326","46,111",7.94,"225,717",41.86,8.52,
115,현대차우,"85,900",500,+0.59%,"5,000","20,922","24,357",55.29,"76,602",12.38,N/A,
116,씨에스윈드,"119,500",500,+0.42%,500,"20,656","17,286",8.47,"334,841",48.92,9.92,
117,오뚜기,"562,000",0,0.00%,"5,000","20,637","3,672",17.29,"4,749",16.05,7.79,
118,만도,"43,650","2,950",+7.25%,"1,000","20,497","46,957",23.13,"3,332,746",-49.49,7.55,
119,KODEX 단기채권,"102,565",5,0.00%,0,"19,852","19,356",3.10,"27,937",N/A,N/A,
120,BNK금융지주,"5,990",100,-1.64%,"5,000","19,524","325,935",46.70,"818,210",3.74,7.07,
121,한화,"25,850",300,-1.15%,"5,000","19,377","74,959",19.09,"168,221",13.54,2.09,
122,두산인프라코어,"8,640",50,-0.58%,"5,000","18,546","214,651",4.44,"1,933,090",13.11,11.59,
123,LS,"56,600","1,000",-1.74%,"5,000","18,225","32,200",11.57,"104,706",-41.89,0.80,
124,한솔케미칼,"161,000","6,000",+3.87%,"5,000","18,185","11,295",34.55,"92,173",17.50,20.88,
125,한올바이오파마,"34,750",550,-1.56%,500,"18,154","52,241",6.93,"280,544",84.55,14.90,
126,농심,"297,500","2,000",-0.67%,"5,000","18,096","6,083",19.03,"19,936",14.80,3.72,
127,포스코인터내셔널,"14,000",300,-2.10%,"5,000","17,273","123,375",15.50,"233,122",9.64,7.06,
128,현대로템,"15,800",300,-1.86%,"5,000","17,244","109,142",3.81,"873,928",-4.74,-37.93,
129,종근당,"157,500","4,500",+2.94%,"2,500","17,145","10,886",13.74,"68,398",22.59,11.94,
130,메리츠화재,"14,850",0,0.00%,500,"16,881","113,680",11.27,"125,835",4.80,12.80,
131,현대오토에버,"79,800","4,000",+5.28%,500,"16,758","21,000",1.56,"349,032",29.13,11.71,
132,KODEX 삼성그룹,"8,270",45,+0.55%,0,"16,722","202,200",0.02,"148,430",N/A,N/A,
133,효성,"78,900",700,-0.88%,"5,000","16,625","21,071",5.86,"43,247",60.88,4.25,
134,현대백화점,"70,600",100,+0.14%,"5,000","16,522","23,402",15.22,"159,006",13.06,4.64,
135,녹십자홀딩스,"35,000","1,000",-2.78%,500,"16,460","47,028",6.70,"837,691",49.72,0.37,
136,한화생명,"1,895",35,-1.81%,"5,000","16,459","868,530",7.60,"7,882,347",9.77,0.51,
137,현대엘리베이,"40,200",150,+0.37%,"5,000","16,408","40,815",25.12,"106,510",27.78,5.22,
138,LS ELECTRIC,"54,400","1,500",-2.68%,"5,000","16,320","30,000",13.74,"94,836",16.78,7.82,
139,부광약품,"24,000",150,+0.63%,500,"15,561","64,838",6.95,"736,713",558.14,-2.00,
140,OCI,"65,200","1,300",-1.95%,"5,000","15,550","23,849",16.95,"266,390",-1.92,-26.20,
141,DB하이텍,"34,050",250,+0.74%,"5,000","15,118","44,399",28.87,"232,119",9.32,17.40,
142,LG생활건강우,"710,000","15,000",-2.07%,"5,000","14,908","2,100",86.04,"5,265",16.19,N/A,
143,대한유화,"226,500","5,500",-2.37%,"5,000","14,722","6,500",14.61,"52,249",17.55,6.11,
144,대우건설,"3,530",70,-1.94%,"5,000","14,671","415,623",8.84,"4,076,524",7.99,8.80,
145,KCC,"163,500","5,500",-3.25%,"5,000","14,529","8,886",11.97,"62,103",-689.87,-4.37,
146,현대미포조선,"36,350",100,+0.28%,"5,000","14,519","39,942",12.45,"576,005",24.30,2.31,
147,KODEX 종합채권(AA-이상)액티브,"110,170",55,+0.05%,0,"14,466","13,131",0.00,"5,291",N/A,N/A,
148,한국테크놀로지그룹,"15,550",0,0.00%,500,"14,465","93,020",6.42,"198,736",11.51,4.71,
149,F&F,"93,500","2,300",-2.40%,500,"14,399","15,400",11.22,"41,855",14.01,25.13,
150,NHN,"73,500","2,400",+3.38%,500,"14,380","19,565",11.09,"115,014",55.98,0.78,
151,영진약품,"7,570",130,-1.69%,500,"13,845","182,893",4.33,"2,890,686",582.31,4.43,
152,HDC현대산업개발,"20,950",250,-1.18%,"5,000","13,808","65,907",8.14,"250,852",2.97,20.30,
153,한화에어로스페이스,"27,150",250,-0.91%,"5,000","13,746","50,630",16.75,"268,617",12.84,5.45,
154,롯데정밀화학,"52,500",0,0.00%,"5,000","13,545","25,800",23.72,"40,608",6.92,11.73,
155,메리츠금융지주,"10,050",0,0.00%,500,"13,468","134,011",8.08,"46,315",3.33,15.26,
156,아이에스동서,"42,750",0,0.00%,500,"13,207","30,893",5.34,"52,132",22.61,6.10,
157,한전KPS,"29,250",50,-0.17%,200,"13,162","45,000",13.16,"156,716",8.28,14.98,
158,지누스,"90,600","1,100",+1.23%,500,"13,053","14,407",20.58,"60,244",16.49,26.32,
159,영원무역,"29,150",350,-1.19%,500,"12,917","44,311",23.09,"60,659",9.18,9.82,
160,한화시스템,"11,650",100,-0.85%,"5,000","12,842","110,230",1.81,"438,990",16.50,8.15,
161,SK디스커버리,"67,000",100,-0.15%,"5,000","12,755","19,038",10.42,"117,807",5.21,11.52,
162,파미셀,"21,200",400,+1.92%,500,"12,711","59,959",7.48,"17,844,250",207.84,8.78,
163,대웅,"21,750",150,-0.68%,500,"12,646","58,142",7.92,"183,680",27.19,10.43,
164,DGB금융지주,"7,410",130,-1.72%,"5,000","12,534","169,146",47.15,"646,936",4.03,7.31,
165,일양약품,"65,500","2,500",-3.68%,"2,500","12,501","19,086",7.83,"635,588",134.77,5.20,
166,현대위아,"45,800",600,+1.33%,"5,000","12,455","27,195",11.22,"308,004",19.76,1.80,
167,KODEX 200TR,"10,655",90,+0.85%,0,"12,195","114,450",20.22,"912,021",N/A,N/A,
168,TIGER 단기통안채,"100,745",0,0.00%,0,"12,012","11,923",6.11,206,N/A,N/A,
169,이노션,"59,800",100,-0.17%,500,"11,960","20,000",29.24,"33,755",17.90,9.88,
170,두산솔루스,"39,050",0,0.00%,100,"11,945","30,590",7.80,"220,221",86.59,N/A,
171,SK네트웍스,"4,800",55,-1.13%,"2,500","11,913","248,188",11.91,"274,070",-40.68,-5.85,
172,진원생명과학,"26,600",250,-0.93%,"1,000","11,901","44,740",11.14,"4,047,001",-90.78,-28.50,
173,JB금융지주,"5,950",10,+0.17%,"5,000","11,720","196,983",39.05,"401,868",3.60,10.36,
174,금호타이어,"4,080",65,+1.62%,"5,000","11,720","287,260",4.19,"503,426",-8.38,-3.30,
175,KODEX 코스닥150 레버리지,"11,680",10,+0.09%,0,"11,224","96,100",1.95,"25,292,834",N/A,N/A,
176,코스맥스,"111,500","1,000",-0.89%,500,"11,205","10,050",27.43,"60,976",29.07,10.45,
177,더블유게임즈,"60,900",400,-0.65%,500,"11,190","18,375",16.21,"50,847",10.61,18.93,
178,제일약품,"75,300","6,500",-7.95%,500,"11,073","14,705",3.83,"1,797,803",-164.77,-5.96,
179,대웅제약,"94,100","1,200",-1.26%,"2,500","10,903","11,587",5.00,"31,828",-439.72,4.34,
180,신세계인터내셔날,"152,500",500,-0.33%,"5,000","10,888","7,140",5.17,"35,678",17.58,12.98,
181,롯데관광개발,"15,600",0,0.00%,500,"10,807","69,276",5.40,"358,418",-23.67,-4.77,
182,한국콜마,"47,150",450,+0.96%,500,"10,788","22,881",25.80,"147,309",49.01,6.39,
183,코오롱인더,"37,600",600,-1.57%,"5,000","10,144","26,979",16.21,"109,147",6.47,1.58,
184,SK가스,"109,500","2,500",-2.23%,"5,000","10,107","9,230",8.93,"11,503",2.91,9.85,
185,휴켐스,"24,450",450,-1.81%,"1,000","9,995","40,879",8.83,"179,787",16.05,10.82,
186,KODEX MSCI Korea TR,"10,630",85,+0.81%,0,"9,971","93,800",11.31,"552,003",N/A,N/A,
187,쿠쿠홈시스,"43,250",150,+0.35%,100,"9,704","22,437",5.08,"11,390",12.67,16.10,
188,아시아나항공,"4,330",350,+8.79%,"5,000","9,666","223,235",7.45,"69,606,284",-0.29,-90.67,
189,KODEX 인버스,"5,100",35,-0.68%,0,"9,557","187,400",1.45,"27,415,520",N/A,N/A,
190,KBSTAR 200,"33,220",255,+0.77%,0,"9,551","28,750",0.26,"161,312",N/A,N/A,
191,영풍,"511,000","6,000",-1.16%,"5,000","9,413","1,842",4.71,867,4.21,7.40,
192,롯데리츠,"5,450",20,-0.37%,500,"9,372","171,969",8.97,"293,396",60.56,1.80,
193,KODEX 단기채권PLUS,"102,800",10,+0.01%,0,"9,334","9,080",0.00,"765,905",N/A,N/A,
194,코리안리,"7,670",40,-0.52%,500,"9,232","120,369",27.24,"166,017",5.49,8.04,
195,후성,"9,810",180,-1.80%,500,"9,085","92,607",4.59,"978,714",-654.00,3.85,
196,태광산업,"802,000","1,000",+0.12%,"5,000","8,929","1,113",9.07,"1,526",6.85,4.34,
